NR_TRABALHO;Total_Horas;vinculo_atividade_planejamento;DEPE_atividade_planejamento;descricao_atividade_planejamento;tipo_atividade_planejamento;DT_INC_atividade_planejamento;DT_FIM_atividade_planejamento;horas_destinadas_trabalho
51658;810;51910;9647;Pré-auditoria;Processo Corporativo;08/jan/25;07FEB2025;100
51658;810;51911;9647;Execução;Processo Corporativo;10FEB2025;16MAY2025;600
51658;810;51912;9647;Comunicação de Resultados;Processo Corporativo;19MAY2025;11/jun/25;100
51658;810;51913;9647;Supervisão;Processo Corporativo;08/jan/25;11/jun/25;10
51659;710;51936;9647;Pré-auditoria;Processo Corporativo;08/jan/25;07FEB2025;100
51659;710;51937;9647;Execução;Processo Corporativo;10FEB2025;09MAY2025;500
51659;710;51938;9647;Comunicação de Resultados;Processo Corporativo;12MAY2025;03/jun/25;100
51659;710;51939;9647;Supervisão;Processo Corporativo;08/jan/25;03/jun/25;10
51660;716;51945;9647;Pré-auditoria;Auditoria de Caráter Obrigatório;08/jan/25;07FEB2025;100
51660;716;51946;9647;Execução;Auditoria de Caráter Obrigatório;10FEB2025;02MAY2025;500
51660;716;51947;9647;Comunicação de Resultados;Auditoria de Caráter Obrigatório;05MAY2025;28MAY2025;100
51660;716;51948;9647;Supervisão;Auditoria de Caráter Obrigatório;08/jan/25;28MAY2025;16
51662;562;51952;9647;Pré-auditoria;Processo Corporativo;07APR2025;12MAY2025;100
51662;562;51953;9647;Execução;Processo Corporativo;13MAY2025;12SEP2025;350
51662;562;51954;9647;Comunicação de Resultados;Processo Corporativo;15SEP2025;08OCT2025;100
51662;562;51955;9647;Supervisão;Processo Corporativo;07APR2025;08OCT2025;12
51663;932;52106;9647;Pré-auditoria;Auditoria de Caráter Obrigatório;23/jun/25;25/jul/25;100
51663;932;52107;9647;Execução;Auditoria de Caráter Obrigatório;28/jul/25;10OCT2025;700
51663;932;52108;9647;Comunicação de Resultados;Auditoria de Caráter Obrigatório;13OCT2025;12/nov/25;100
51663;932;52109;9647;Supervisão;Auditoria de Caráter Obrigatório;23/jun/25;12/nov/25;32
51664;870;52111;9647;Pré-auditoria;Entidade Ligada;09/jul/25;08AUG2025;100
51664;870;52119;9647;Execução;Entidade Ligada;11AUG2025;12SEP2025;280
51664;870;52121;9647;Comunicação de Resultados;Entidade Ligada;15SEP2025;08OCT2025;80
51664;870;52123;9647;Supervisão;Entidade Ligada;09/jul/25;08OCT2025;10
51664;870;52113;9920;Pré-auditoria;Entidade Ligada;09/jul/25;08AUG2025;60
51664;870;52118;9920;Execução;Entidade Ligada;11AUG2025;12SEP2025;280
51664;870;52122;9920;Comunicação de Resultados;Entidade Ligada;15SEP2025;08OCT2025;60
51665;1130;52158;9647;Pré-auditoria;Entidade Ligada;24/jun/25;18/jul/25;100
51665;1130;52162;9647;Execução;Entidade Ligada;21/jul/25;07/nov/25;400
51665;1130;52166;9647;Comunicação de Resultados;Entidade Ligada;10/nov/25;09DEC2025;100
51665;1130;52582;9647;Supervisão;Entidade Ligada;24/jun/25;09DEC2025;30
51665;1130;52159;9920;Pré-auditoria;Entidade Ligada;24/jun/25;18/jul/25;80
51665;1130;52164;9920;Execução;Entidade Ligada;21/jul/25;07/nov/25;340
51665;1130;52168;9920;Comunicação de Resultados;Entidade Ligada;10/nov/25;09DEC2025;80
51666;160;52135;9647;Pré-auditoria;Processo Corporativo;03/nov/25;07/nov/25;20
51666;160;52138;9647;Execução;Processo Corporativo;10/nov/25;05DEC2025;110
51666;160;52140;9647;Comunicação de Resultados;Processo Corporativo;08DEC2025;16DEC2025;20
51666;160;52142;9647;Supervisão;Processo Corporativo;03/nov/25;16DEC2025;10
51667;160;52146;9647;Pré-auditoria;Processo Corporativo;03/nov/25;07/nov/25;20
51667;160;52147;9647;Execução;Processo Corporativo;10/nov/25;05DEC2025;110
51667;160;52148;9647;Comunicação de Resultados;Processo Corporativo;08DEC2025;17DEC2025;20
51667;160;52149;9647;Supervisão;Processo Corporativo;03/nov/25;17DEC2025;10
51696;1000;53472;9608;Pré-auditoria;Processo Corporativo;21/jul/25;08AUG2025;240
51696;1000;53475;9608;Execução;Processo Corporativo;11AUG2025;26SEP2025;480
51696;1000;53478;9608;Comunicação de Resultados;Processo Corporativo;29SEP2025;17OCT2025;200
51696;1000;53480;9608;Supervisão;Processo Corporativo;21/jul/25;17OCT2025;80
51702;1400;53994;9608;Pré-auditoria;Entidade Ligada;01/jul/25;28/jul/25;280
51702;1400;53997;9608;Execução;Entidade Ligada;29/jul/25;16SEP2025;480
51702;1400;54000;9608;Comunicação de Resultados;Entidade Ligada;17SEP2025;05OCT2025;160
51702;1400;54001;9608;Supervisão;Entidade Ligada;01/jul/25;05OCT2025;80
51702;1400;53956;9610;Pré-auditoria;Entidade Ligada;01/jul/25;28/jul/25;120
51702;1400;53959;9610;Execução;Entidade Ligada;29/jul/25;16SEP2025;240
51702;1400;54050;9610;Comunicação de Resultados;Entidade Ligada;17SEP2025;05OCT2025;40
51708;1000;51710;9608;Pré-auditoria;Entidade Ligada;18AUG2025;05SEP2025;280
51708;1000;51711;9608;Execução;Entidade Ligada;08SEP2025;24OCT2025;480
51708;1000;51712;9608;Comunicação de Resultados;Entidade Ligada;27OCT2025;07/nov/25;160
51708;1000;51713;9608;Supervisão;Entidade Ligada;18AUG2025;07/nov/25;80
51714;5400;51721;8888;Pré-auditoria;Processo Corporativo;01APR2025;30APR2025;300
51714;5400;51731;8888;Execução;Processo Corporativo;02MAY2025;04/jul/25;600
51714;5400;51738;8888;Comunicação de Resultados;Processo Corporativo;07/jul/25;07AUG2025;150
51714;5400;51745;8888;Supervisão;Processo Corporativo;01APR2025;07AUG2025;80
51714;5400;51722;9604;Pré-auditoria;Processo Corporativo;01APR2025;30APR2025;160
51714;5400;51732;9604;Execução;Processo Corporativo;02MAY2025;04/jul/25;300
51714;5400;51739;9604;Comunicação de Resultados;Processo Corporativo;07/jul/25;07AUG2025;40
51714;5400;53629;9604;Supervisão;Processo Corporativo;01APR2025;07AUG2025;20
51714;5400;51724;9608;Pré-auditoria;Processo Corporativo;01APR2025;30APR2025;160
51714;5400;51733;9608;Execução;Processo Corporativo;02MAY2025;04/jul/25;300
51714;5400;51740;9608;Comunicação de Resultados;Processo Corporativo;07/jul/25;07AUG2025;40
51714;5400;51747;9608;Supervisão;Processo Corporativo;01APR2025;07AUG2025;20
51714;5400;51725;9610;Pré-auditoria;Processo Corporativo;01APR2025;30APR2025;120
51714;5400;51734;9610;Execução;Processo Corporativo;02MAY2025;04/jul/25;200
51714;5400;51741;9610;Comunicação de Resultados;Processo Corporativo;07/jul/25;07AUG2025;80
51714;5400;51720;9875;Pré-auditoria;Processo Corporativo;01APR2025;30APR2025;250
51714;5400;51727;9875;Execução;Processo Corporativo;02MAY2025;04/jul/25;600
51714;5400;51737;9875;Comunicação de Resultados;Processo Corporativo;07/jul/25;07AUG2025;150
51714;5400;51744;9875;Supervisão;Processo Corporativo;01APR2025;07AUG2025;200
51714;5400;51726;9889;Pré-auditoria;Processo Corporativo;01APR2025;30APR2025;320
51714;5400;51735;9889;Execução;Processo Corporativo;02MAY2025;04/jul/25;600
51714;5400;51742;9889;Comunicação de Resultados;Processo Corporativo;07/jul/25;07AUG2025;150
51714;5400;51746;9889;Supervisão;Processo Corporativo;01APR2025;07AUG2025;20
51714;5400;51723;9920;Pré-auditoria;Processo Corporativo;01APR2025;30APR2025;160
51714;5400;51736;9920;Execução;Processo Corporativo;02MAY2025;04/jul/25;300
51714;5400;51743;9920;Comunicação de Resultados;Processo Corporativo;07/jul/25;07AUG2025;80
51748;1150;51752;9604;Execução;Entidade Ligada;03FEB2025;14/mar/25;600
51748;1150;51753;9604;Pré-auditoria;Entidade Ligada;02/jan/25;31/jan/25;280
51748;1150;51754;9604;Comunicação de Resultados;Entidade Ligada;17/mar/25;07APR2025;190
51748;1150;51755;9604;Supervisão;Entidade Ligada;02/jan/25;07APR2025;80
51749;1070;51756;9604;Pré-auditoria;Entidade Ligada;08APR2025;02MAY2025;280
51749;1070;51757;9604;Execução;Entidade Ligada;05MAY2025;20/jun/25;550
51749;1070;51764;9604;Comunicação de Resultados;Entidade Ligada;23/jun/25;11/jul/25;160
51749;1070;51765;9604;Supervisão;Entidade Ligada;08APR2025;11/jul/25;80
51758;1480;51766;9604;Pré-auditoria;Entidade Ligada;07/jul/25;08AUG2025;300
51758;1480;51767;9604;Execução;Entidade Ligada;11AUG2025;14/nov/25;900
51758;1480;51768;9604;Comunicação de Resultados;Entidade Ligada;17/nov/25;05DEC2025;200
51758;1480;51769;9604;Supervisão;Entidade Ligada;07/jul/25;05DEC2025;80
51770;1364;51772;9889;Pré-auditoria;Processo Corporativo;28APR2025;30MAY2025;504
51770;1364;51773;9889;Execução;Processo Corporativo;02/jun/25;04/jul/25;504
51770;1364;51774;9889;Comunicação de Resultados;Processo Corporativo;07/jul/25;18/jul/25;210
51770;1364;51775;9889;Supervisão;Processo Corporativo;28APR2025;18/jul/25;146
51871;2796;53014;8888;Pré-auditoria;Processo Corporativo;03SEP2025;08OCT2025;90
51871;2796;53016;8888;Execução;Processo Corporativo;09OCT2025;25/nov/25;150
51871;2796;53018;8888;Comunicação de Resultados;Processo Corporativo;26/nov/25;17DEC2025;60
51871;2796;53019;8888;Supervisão;Processo Corporativo;03SEP2025;17DEC2025;30
51871;2796;52537;8960;Pré-auditoria;Processo Corporativo;03SEP2025;08OCT2025;311
51871;2796;52538;8960;Execução;Processo Corporativo;09OCT2025;25/nov/25;373
51871;2796;52539;8960;Comunicação de Resultados;Processo Corporativo;26/nov/25;17DEC2025;195
51871;2796;52540;8960;Supervisão;Processo Corporativo;03SEP2025;17DEC2025;70
51871;2796;52979;9610;Pré-auditoria;Processo Corporativo;03SEP2025;08OCT2025;120
51871;2796;52980;9610;Execução;Processo Corporativo;09OCT2025;25/nov/25;200
51871;2796;52982;9610;Comunicação de Resultados;Processo Corporativo;26/nov/25;17DEC2025;80
51871;2796;52984;9610;Supervisão;Processo Corporativo;03SEP2025;17DEC2025;50
51871;2796;52541;9889;Pré-auditoria;Processo Corporativo;03SEP2025;08OCT2025;337
51871;2796;52542;9889;Execução;Processo Corporativo;09OCT2025;25/nov/25;404
51871;2796;52543;9889;Comunicação de Resultados;Processo Corporativo;26/nov/25;17DEC2025;212
51871;2796;52545;9889;Supervisão;Processo Corporativo;03SEP2025;17DEC2025;114
51880;490;52182;9646;Pré-auditoria;Processo Corporativo;02/jan/25;31/jan/25;110
51880;490;52183;9646;Execução;Processo Corporativo;03FEB2025;14/mar/25;260
51880;490;52184;9646;Comunicação de Resultados;Processo Corporativo;17/mar/25;28/mar/25;90
51880;490;52185;9646;Supervisão;Processo Corporativo;02/jan/25;28/mar/25;30
51881;635;52186;9646;Pré-auditoria;Entidade Ligada;24/mar/25;18APR2025;100
51881;635;52187;9646;Execução;Entidade Ligada;21APR2025;20/jun/25;390
51881;635;52188;9646;Comunicação de Resultados;Entidade Ligada;23/jun/25;11/jul/25;105
51881;635;52189;9646;Supervisão;Entidade Ligada;24/mar/25;11/jul/25;40
51882;670;52190;9646;Pré-auditoria;Processo Corporativo;23/jun/25;18/jul/25;110
51882;670;52191;9646;Execução;Processo Corporativo;21/jul/25;24OCT2025;440
51882;670;52192;9646;Comunicação de Resultados;Processo Corporativo;27OCT2025;14/nov/25;60
51882;670;52193;9646;Supervisão;Processo Corporativo;23/jun/25;14/nov/25;60
